連番,索引番号,表示山名,表示よみ,地理院山名,山頂名,標高(m),種別,都道府県,緯度,経度,百名山,二百名山,三百名山,百高山,別名(検索用),照合方法,確認状態,備考
415,386,乳房山,ちぶさやま,乳房山,,462,三角点,東京都,26.659541,142.161478,,,,,,,その他,
416,387,榊ヶ峰,さかきがみね,榊ヶ峰,,792,標高点,東京都,25.427729,141.281192,,,,,,,その他,
417,388,摺鉢山（パイプ山）,すりばちやま（ぱいぷやま）,摺鉢山,,172,標高点,東京都,24.750385,141.289110,,,,,パイプ山,,その他,
418,389,[南硫黄島],[みなみいおうとう],[南硫黄島],,916,標高点,東京都,24.233895,141.463556,,,,,,,その他,
419,390,金北山,きんぽくさん,金北山,,1172,三角点,新潟県,38.103882,138.349816,,,1,,,三百名山:自動(名前一致・よみ一致・標高一致・距離0.0km・県一致),自動一致,
420,391,大地山,おおちやま,大地山,,646,三角点,新潟県,37.958575,138.479710,,,,,,,その他,
421,392,弥彦山,やひこやま,弥彦山,,634,標高点,新潟県,37.704721,138.809053,,,,,,,その他,
422,393,米山,よねやま,米山,,992,三角点,新潟県,37.289540,138.483947,,,1,,,三百名山:自動(名前一致・よみ一致・標高一致・距離0.0km・県一致),自動一致,
423,394,黒姫山,くろひめさん,黒姫山,,891,標高点,新潟県,37.226080,138.592154,,,,,,,その他,
424,395,菱ヶ岳,ひしがたけ,菱ヶ岳,,1129,三角点,新潟県,37.032165,138.493284,,,,,,,その他,
425,396,斑尾山,まだらおやま,斑尾山,,1381,三角点,長野県,36.837396,138.274312,,,1,,,三百名山:自動(名前一致・よみ一致・標高一致・距離0.0km・県一致),自動一致,
426,397,鉾ヶ岳,ほこがたけ,鉾ヶ岳,,1316,三角点,新潟県,37.028665,138.026453,,,,,,,その他,
427,398,駒ヶ岳,こまがたけ,駒ヶ岳,,1498,標高点,新潟県,36.942751,137.948408,,,,,,,その他,
428,399,鋸岳,のこぎりだけ,鋸岳,,1631,三角点,新潟県,36.931868,137.968928,,,,,,,その他,
429,400,焼山,やけやま,焼山,,2400,三角点,新潟県,36.920958,138.035950,,,1,,,三百名山:自動(名前一致・よみ一致・標高一致・距離0.0km・県一致),自動一致,
430,401,雨飾山,あまかざりやま,雨飾山,,1963,三角点,新潟県 長野県,36.902021,137.962610,1,,,,,百名山:自動(名前一致・よみ一致・標高一致・県一致),自動一致,
