連番,索引番号,表示山名,表示よみ,地理院山名,山頂名,標高(m),種別,都道府県,緯度,経度,百名山,二百名山,三百名山,百高山,別名(検索用),照合方法,確認状態,備考
679,640,笈ヶ岳,おいずるがだけ,笈ヶ岳,,1841,三角点,富山県 石川県 岐阜県,36.298515,136.792193,,1,,,,二百名山:自動(名前一致・よみ一致・標高一致・距離0.0km・県一致),自動一致,
680,641,三方岩岳,さんぽういわだけ,三方岩岳,,1736,標高点,石川県 岐阜県,36.258193,136.844556,,,1,,,三百名山:自動(名前一致・よみ一致・標高一致・距離0.1km・県一致),自動一致,
681,642,三方崩山,さんぽうくずれやま,三方崩山,,2058,三角点,岐阜県,36.179001,136.860150,,,,,,,その他,
682,643,七倉山,ななくらやま,七倉山,,2557,標高点,石川県,36.171286,136.758842,,,,,,,その他,
683,644,白山,はくさん,白山,御前峰,2702,三角点,石川県 岐阜県,36.155063,136.771449,1,,,1,御前峰/白山（御前峰）,百名山:自動(名前一致・よみ一致・標高一致・県一致) / 百高山:自動(名前一致・よみ一致・標高一致),自動一致,
684,645,白山釈迦岳,はくさんしゃかだけ,白山釈迦岳,,2053,三角点,石川県,36.152212,136.735687,,,,,,,その他,
685,646,別山,べっさん,別山,,2399,三角点,石川県 岐阜県,36.105439,136.765729,,,,,,,その他,
686,647,願教寺山,がんきょうじさん,願教寺山,,1691,三角点,福井県 岐阜県,36.056929,136.739761,,,,,,,その他,
687,648,野伏ヶ岳,のぶせがだけ,野伏ヶ岳,,1674,三角点,岐阜県 福井県,36.012843,136.732391,,,1,,,三百名山:自動(名前一致・標高一致・距離0.0km・県一致),自動一致,
688,649,大日ヶ岳,だいにちがたけ,大日ヶ岳,,1709,三角点,岐阜県,36.001366,136.837818,,1,,,,二百名山:自動(名前一致・よみ一致・標高一致・距離0.0km・県一致),自動一致,
689,650,赤兎山,あかうさぎやま,赤兎山,,1628,三角点,福井県 石川県,36.067580,136.661910,,,,,,,その他,
690,651,経ヶ岳,きょうがだけ,経ヶ岳,,1625,三角点,福井県,36.046438,136.621893,,,1,,,三百名山:自動(名前一致・よみ一致・標高一致・距離0.0km・県一致),自動一致,
691,652,鷲走ヶ岳,わっそがだけ,鷲走ヶ岳,,1096,三角点,石川県,36.265868,136.615529,,,,,,,その他,
692,653,大日山,だいにちざん,大日山,,1368,標高点,石川県,36.162094,136.493321,,,,,,,その他,
693,654,富士写ヶ岳,ふじしゃがだけ,富士写ヶ岳,,942,三角点,石川県,36.188553,136.363965,,,,,,,その他,
694,655,浄法寺山,じょうほうじやま,浄法寺山,,1053,三角点,福井県,36.124959,136.392678,,,,,,,その他,
695,656,国見岳,くにみだけ,国見岳,,656,三角点,福井県,36.079266,136.083957,,,,,,,その他,
696,657,日野山,ひのさん,日野山,,794,三角点,福井県,35.859184,136.207491,,,,,,,その他,
697,658,部子山,へこさん,部子山,,1464,三角点,福井県,35.886133,136.439201,,,,,,,その他,
698,659,荒島岳,あらしまだけ,荒島岳,,1523,三角点,福井県,35.934289,136.601273,1,,,,,百名山:自動(名前一致・よみ一致・標高一致・県一致),自動一致,
699,660,平家岳,へいけがだけ,平家岳,,1441,三角点,福井県,35.809887,136.718893,,,,,,,その他,
700,661,高賀山,こうがさん,高賀山,,1224,三角点,岐阜県,35.671819,136.859303,,,,,,,その他,
701,662,?風山,びょうぶさん,?風山,,1354,三角点,福井県 岐阜県,35.796862,136.626600,,,,,,,その他,
702,663,姥ヶ岳,うばがたけ,姥ヶ岳,,1453,三角点,福井県,35.809457,136.505847,,,,,,,その他,
703,664,能郷白山,のうごうはくさん,能郷白山,,1617,三角点,岐阜県,35.762394,136.514030,,1,,,能郷白山（権現山）/権現山,二百名山:自動(名前一致・標高一致・距離0.0km・県一致),自動一致,
704,665,冠山,かんむりやま,冠山,,1256,三角点,福井県 岐阜県,35.779773,136.409397,,,1,,,三百名山:自動(名前一致・よみ一致・標高一致・距離0.0km・県一致),自動一致,
705,666,三周ヶ岳,さんしゅうがだけ,三周ヶ岳,,1292,三角点,岐阜県,35.683635,136.300103,,,,,,,その他,
706,667,金糞岳,かなくそだけ,金糞岳,,1317,標高点,岐阜県 滋賀県,35.550150,136.337233,,,,,,,その他,
707,668,伊吹山,いぶきやま,伊吹山,,1377,三角点,滋賀県,35.417836,136.406346,1,,,,,百名山:自動(名前一致・よみ一致・標高一致・県一致),自動一致,
708,669,霊仙山,りょうぜんざん,霊仙山,,1094,標高点,滋賀県,35.279140,136.381231,,,,,,,その他,
709,670,笙ヶ岳,しょうがだけ,笙ヶ岳,,908,三角点,岐阜県,35.283640,136.511207,,,,,,,その他,
710,671,養老山,ようろうさん,養老山,,859,三角点,岐阜県,35.263152,136.523322,,,,,,,その他,
711,672,御池岳,おいけだけ,御池岳,,1247,標高点,滋賀県,35.178513,136.414738,,,,,,,その他,
712,673,竜ヶ岳,りゅうがだけ,竜ヶ岳,,1099,三角点,滋賀県 三重県,35.119324,136.445173,,,,,,,その他,
713,674,御在所山,ございしょやま,御在所山,,1212,標高点,滋賀県 三重県,35.020424,136.418015,,1,,,,二百名山:自動(名前一致・よみ一致・標高一致・距離0.0km・県一致),自動一致,
714,675,雨乞岳,あまごいだけ,雨乞岳,,1238,三角点,滋賀県,35.021075,136.384118,,,,,,,その他,
715,676,高畑山,たかはたやま,高畑山,,773,三角点,三重県 滋賀県,34.889774,136.320803,,,,,,,その他,
716,677,霊山,れいさん,霊山,,765,三角点,三重県,34.817154,136.260474,,,,,,,その他,
717,678,経が峰,きょうがみね,経が峰,,819,三角点,三重県,34.766521,136.374440,,,,,,,その他,
718,679,笠取山,かさとりやま,笠取山,,842,標高点,三重県,34.733977,136.296371,,,,,,,その他,
719,680,武奈ヶ岳,ぶながだけ,武奈ヶ岳,,1214,三角点,滋賀県,35.264616,135.896999,,1,,,,二百名山:自動(名前一致・よみ一致・標高一致・距離0.0km・県一致),自動一致,
720,681,皆子山,みなこやま,皆子山,,971,三角点,京都府 滋賀県,35.202273,135.835142,,,,,,,その他,
721,682,蓬莱山,ほうらいさん,蓬莱山,,1174,三角点,滋賀県,35.209539,135.885735,,,1,,,三百名山:自動(名前一致・よみ一致・標高一致・距離0.0km・県一致),自動一致,
722,683,比叡山,ひえいざん,比叡山,大比叡,848,三角点,滋賀県 京都府,35.065830,135.834449,,,1,,大比叡,三百名山:自動(名前一致・よみ一致・標高一致・距離0.0km・県一致),自動一致,
723,684,音羽山,おとわやま,音羽山,,593,三角点,京都府,34.976851,135.853004,,,,,,,その他,
724,685,三上山（近江富士）,みかみやま（おうみふじ）,三上山,,432,標高点,滋賀県,35.050543,136.037563,,,,,近江富士,,その他,
725,686,鷲峰山,じゅうぶざん,鷲峰山,,682,標高点,京都府,34.830490,135.908502,,,,,,,その他,
726,687,笠置山,かさぎやま,笠置山,,324,三角点,京都府,34.751814,135.950672,,,,,,,その他,
727,688,若草山（三笠山）,わかくさやま（みかさやま）,若草山,,342,三角点,奈良県,34.691159,135.854317,,,,,三笠山,,その他,
728,689,三輪山,みわやま,三輪山,,467,三角点,奈良県,34.535033,135.866812,,,,,,,その他,
729,690,耳成山,みみなしやま,耳成山,,139,三角点,奈良県,34.514731,135.805360,,,,,,,その他,
730,691,天香久山,あまのかぐやま,天香久山,,152,標高点,奈良県,34.495631,135.818319,,,,,,,その他,
731,692,畝傍山,うねびやま,畝傍山,,198,三角点,奈良県,34.492586,135.784711,,,,,,,その他,
732,693,生駒山,いこまやま,生駒山,,642,三角点,大阪府 奈良県,34.678459,135.678994,,,,,,,その他,
733,694,信貴山,しぎさん,信貴山,,437,標高点,奈良県,34.612698,135.668339,,,,,,,その他,
734,695,二上山（雄岳）,にじょうざん（おだけ）,二上山,雄岳,517,標高点,奈良県,34.525625,135.677668,,,,,二上山/雄岳,,その他,
735,696,葛城山,かつらぎさん,葛城山,,958,三角点,奈良県 大阪府,34.456157,135.682317,,,1,,,三百名山:自動(名前一致・よみ一致・標高一致・距離0.0km・県一致),自動一致,
736,697,金剛山,こんごうざん,金剛山,,1125,標高点,奈良県,34.419446,135.672945,,1,,,,二百名山:自動(名前一致・よみ一致・標高一致・距離0.0km・県一致),自動一致,
737,698,岩湧山,いわわきさん,岩湧山,,897,三角点,大阪府,34.374078,135.551011,,,,,,,その他,
738,699,葛城山,かつらぎさん,葛城山,,858,標高点,大阪府 和歌山県,34.348009,135.434375,,,,,,,その他,
739,700,俎石山,そせきざん,俎石山,,420,三角点,和歌山県 大阪府,34.308398,135.207857,,,,,,,その他,
740,701,堀坂山,ほっさかさん,堀坂山,,757,三角点,三重県,34.546535,136.432892,,,,,,,その他,
741,702,尼ケ岳,あまがだけ,尼ケ岳,,957,三角点,三重県,34.557587,136.219675,,,,,,,その他,
742,703,倶留尊山,くろそやま,倶留尊山,,1037,三角点,三重県 奈良県,34.530913,136.170310,,,1,,,三百名山:自動(名前一致・よみ一致・標高一致・距離0.0km・県一致),自動一致,
743,704,局ヶ岳,つぼねがだけ,局ヶ岳,,1029,三角点,三重県,34.460466,136.327036,,,,,,,その他,
744,705,三峰山,みうねやま,三峰山,,1235,三角点,三重県 奈良県,34.448712,136.206263,,,1,,,三百名山:自動(名前一致・よみ一致・標高一致・距離0.0km・県一致),自動一致,
745,706,高見山,たかみやま,高見山,,1248,三角点,三重県 奈良県,34.428659,136.088468,,,1,,,三百名山:自動(名前一致・よみ一致・標高一致・距離0.0km・県一致),自動一致,
746,707,竜門岳,りゅうもんがだけ,竜門岳,,904,三角点,奈良県,34.440632,135.897684,,,1,,,三百名山:自動(名前一致・標高一致・距離0.0km・県一致),自動一致,
747,708,朝熊ヶ岳,あさまがたけ,朝熊ヶ岳,,555,標高点,三重県,34.461151,136.781584,,,,,,,その他,
748,709,七洞岳,ななほらがたけ,七洞岳,,778,三角点,三重県,34.373058,136.515752,,,,,,,その他,
749,710,迷岳,まよいだけ,迷岳,,1309,三角点,三重県,34.350130,136.207531,,,,,,,その他,
750,711,国見山,くにみやま,国見山,,1419,三角点,三重県 奈良県,34.375773,136.086639,,,,,,,その他,
751,712,池木屋山,いけごややま,池木屋山,,1396,三角点,三重県 奈良県,34.316079,136.129450,,,,,,,その他,
752,713,白鬚岳,しらひげだけ,白鬚岳,,1378,三角点,奈良県,34.292932,136.046943,,,,,,,その他,
753,714,大台ヶ原山,おおだいがはらやま,大台ヶ原山,日出ヶ岳,1695,三角点,奈良県 三重県,34.185227,136.109199,1,,,,日出ヶ岳,百名山:自動(名前一致・標高一致・県一致),自動一致,
754,715,山上ヶ岳,さんじょうがたけ,山上ヶ岳,,1719,三角点,奈良県,34.252390,135.941058,,,1,,,三百名山:自動(名前一致・よみ一致・標高一致・距離0.0km・県一致),自動一致,
755,716,大普賢岳,だいふげんだけ,大普賢岳,,1780,三角点,奈良県,34.227853,135.962800,,,,,,,その他,
756,717,弥山,みせん,弥山,,1895,標高点,奈良県,34.180121,135.909335,,,,,,,その他,
757,718,大峰山,おおみねさん,八経ヶ岳,,1915,三角点,奈良県,34.173586,135.907550,1,,,,八経ヶ岳,百名山:自動(標高一致・県一致),目視確認済,百名山: 大峰山の最高点=八経ヶ岳1915m
758,719,仏生嶽,ぶっしょうがだけ,仏生嶽,,1805,三角点,奈良県,34.134501,135.913140,,,,,,,その他,
759,720,釈迦ヶ岳,しゃかがだけ,釈迦ヶ岳,,1800,三角点,奈良県,34.114308,135.903126,,1,,,,二百名山:自動(名前一致・よみ一致・標高一致・距離0.0km・県一致),自動一致,
760,721,涅槃岳,ねはんだけ,涅槃岳,,1376,三角点,奈良県,34.058235,135.896903,,,,,,,その他,
761,722,笠捨山,かさすてやま,笠捨山,,1353,三角点,奈良県,33.982804,135.898319,,,,,,,その他,
762,723,玉置山,たまきやま,玉置山,,1077,三角点,奈良県,33.926584,135.831617,,,,,,,その他,
763,724,高峰山,たかみねさん,高峰山,,1045,三角点,三重県,34.032003,136.147211,,,,,,,その他,
764,725,子ノ泊山,ねのとまりやま,子ノ泊山,,907,三角点,三重県,33.794579,135.930460,,,,,,,その他,
765,726,龍門山,りゅうもんざん,龍門山,,756,三角点,和歌山県,34.238007,135.411366,,,,,,,その他,
766,727,生石ヶ峰,おいしがみね,生石ヶ峰,,870,三角点,和歌山県,34.105074,135.334158,,,,,,,その他,
767,728,白馬山,しらまやま,白馬山,,957,三角点,和歌山県,34.015793,135.372249,,,,,,,その他,
768,729,伯母子岳,2おばこだけ,伯母子岳,,1344,標高点,奈良県,34.077416,135.650735,,1,,,,二百名山:自動(名前一致・よみ一致・標高一致・距離0.0km・県一致),自動一致,
769,730,護摩壇山,ごまだんざん,護摩壇山,,1372,標高点,奈良県 和歌山県,34.057402,135.567128,,,1,,,三百名山:自動(名前一致・よみ一致・標高一致・距離0.0km・県一致),自動一致,
770,731,牛廻山,うしまわしやま,牛廻山,,1207,三角点,奈良県 和歌山県,33.948995,135.631278,,,,,,,その他,
771,732,冷水山,ひやみずやま,冷水山,,1262,三角点,奈良県,33.899102,135.652818,,,,,,,その他,
772,733,大塔山,おおとうざん,大塔山,,1122,三角点,和歌山県,33.726858,135.713839,,,,,,,その他,
773,734,法師山,ほうしやま,法師山,,1120,三角点,和歌山県,33.725942,135.665343,,,,,,,その他,
774,735,那智山（烏帽子山）,なちさん（えぼしやま）,那智山,烏帽子山,909,三角点,和歌山県,33.696115,135.900842,,,,,那智山/烏帽子山,,その他,
775,736,善司ノ森山,ぜんじのもりやま,善司ノ森山,,591,三角点,和歌山県,33.593693,135.546946,,,,,,,その他,
776,737,野坂岳,のさかだけ,野坂岳,,913,三角点,福井県,35.589639,136.024585,,,,,,,その他,
777,738,雲谷山,くもだにやま,雲谷山,,786,三角点,福井県,35.557672,135.945117,,,,,,,その他,
778,739,久須夜ヶ岳,くすやがだけ,久須夜ヶ岳,,618,三角点,福井県,35.557446,135.733748,,,,,,,その他,
779,740,百里ヶ岳,ひゃくりがだけ,百里ヶ岳,,931,三角点,福井県 滋賀県,35.391788,135.810096,,,,,,,その他,
780,741,飯盛山,はんせいざん,飯盛山,,584,三角点,福井県,35.451902,135.660108,,,,,,,その他,
781,742,青葉山,あおばやま,青葉山,,693,標高点,福井県,35.505250,135.483784,,,,,,,その他,
782,743,頭巾山,とうきんざん,頭巾山,,871,三角点,福井県 京都府,35.377385,135.534450,,,,,,,その他,
783,744,長老ヶ岳,ちょうろうがだけ,長老ヶ岳,,917,三角点,京都府,35.303243,135.473986,,,,,,,その他,
784,745,桟敷ヶ岳,さじきがだけ,桟敷ヶ岳,,896,三角点,京都府,35.159212,135.717236,,,,,,,その他,
785,746,愛宕山,あたごやま,愛宕山,,924,標高点,京都府,35.060005,135.634252,,,1,,,三百名山:自動(名前一致・よみ一致・標高一致・距離0.0km・県一致),自動一致,
786,747,ポンポン山,ぽんぽんやま,ポンポン山,,679,三角点,京都府 大阪府,34.935163,135.623809,,,,,,,その他,
787,748,妙見山,みょうけんさん,妙見山,,660,三角点,大阪府 兵庫県,34.928916,135.467347,,,,,,,その他,
788,749,歌垣山,うたがきやま,歌垣山,,553,三角点,大阪府,34.974033,135.476756,,,,,,,その他,
789,750,剣尾山,けんびざん,剣尾山,,784,標高点,大阪府,35.003360,135.403888,,,,,,,その他,
790,751,三嶽,みたけ,三嶽,,793,三角点,兵庫県,35.127264,135.244900,,,,,,,その他,
791,752,白髪岳,しらがたけ,白髪岳,,721,三角点,兵庫県,35.046008,135.134825,,,,,,,その他,
792,753,太鼓山,たいこやま,太鼓山,,683,三角点,京都府,35.695268,135.204236,,,,,,,その他,
793,754,磯砂山,いさなごさん,磯砂山,,661,三角点,京都府,35.548529,135.038108,,,,,,,その他,
794,755,大江山（千丈ヶ嶽）,おおえやま（せんじょうがたけ）,大江山,,832,三角点,京都府,35.453453,135.106653,,,,,千丈ヶ嶽,,その他,
795,756,東床尾山,ひがしとこのおさん,東床尾山,,839,三角点,兵庫県,35.421887,134.915863,,,,,,,その他,
796,757,来日岳,くるひだけ,来日岳,,566,三角点,兵庫県,35.611950,134.785454,,,,,,,その他,
797,758,六甲山,ろっこうさん,六甲山,,931,三角点,兵庫県,34.778004,135.263741,,,1,,,三百名山:自動(名前一致・よみ一致・標高一致・距離0.0km・県一致),自動一致,
798,759,摩耶山,まやさん,摩耶山,,702,標高点,兵庫県,34.732933,135.204328,,,,,,,その他,
799,760,妙見山,みょうけんやま,妙見山,,522,標高点,兵庫県,34.497243,134.943495,,,,,,,その他,
800,761,諭鶴羽山,ゆづるはさん,諭鶴羽山,,608,三角点,兵庫県,34.234865,134.814188,,,,,,,その他,
801,762,粟鹿山,あわがやま,粟鹿山,,962,三角点,兵庫県,35.272785,134.915427,,,,,,,その他,
802,763,千ヶ峰,せんがみね,千ヶ峰,,1005,三角点,兵庫県,35.144714,134.883927,,,,,,,その他,
803,764,笠形山,かさがたやま,笠形山,,939,三角点,兵庫県,35.064159,134.834717,,,,,,,その他,
804,765,久斗山,くとやま,久斗山,,650,標高点,兵庫県,35.621151,134.562701,,,,,,,その他,
805,766,蘇武岳,そぶがたけ,蘇武岳,,1074,三角点,兵庫県,35.470792,134.637965,,,,,,,その他,
806,767,妙見山,みょうけんさん,妙見山,,1139,標高点,兵庫県,35.410580,134.643850,,,,,,,その他,
807,768,藤無山,ふじなしやま,藤無山,,1139,三角点,兵庫県,35.266677,134.600501,,,,,,,その他,
808,769,段ヶ峰,だんがみね,段ヶ峰,,1103,三角点,兵庫県,35.191576,134.727417,,,,,,,その他,
809,770,雪彦山,せっぴこさん,雪彦山,,915,三角点,兵庫県,35.072813,134.651212,,,,,,,その他,
810,771,扇ノ山,おうぎのせん,扇ノ山,,1310,三角点,鳥取県,35.439806,134.440891,,,1,,,三百名山:自動(名前一致・よみ一致・標高一致・距離0.0km・県一致),自動一致,
811,772,鉢伏山,はちぶせやま,鉢伏山,,1222,標高点,兵庫県,35.395384,134.536370,,,,,,,その他,
812,773,氷ノ山,ひょうのせん,氷ノ山,,1510,三角点,兵庫県 鳥取県,35.353959,134.513842,,1,,,氷ノ山（須賀ノ山）/須賀ノ山,二百名山:自動(名前一致・標高一致・距離0.0km・県一致),自動一致,
813,774,三室山,みむろやま,三室山,,1358,三角点,兵庫県 鳥取県,35.236695,134.462814,,,,,,,その他,
814,775,東山,とうせん,東山,,1388,三角点,鳥取県,35.292274,134.383007,,,,,,,その他,
815,776,沖ノ山,おきのやま,沖ノ山,,1318,三角点,鳥取県,35.248033,134.356769,,,,,,,その他,
816,777,後山,うしろやま,後山,,1344,三角点,岡山県 兵庫県,35.186820,134.411242,,,,,,,その他,
817,778,那岐山,なぎさん,那岐山,,1254,測定点,鳥取県 岡山県,35.171666,134.180277,,,1,,,三百名山:自動(名前一致・よみ一致・標高一致・距離0.0km・県一致),自動一致,
818,779,書写山,しょしゃざん,書写山,,371,標高点,兵庫県,34.892477,134.656452,,,,,,,その他,
819,780,白旗山,しらはたやま,白旗山,,440,三角点,兵庫県,34.908203,134.380778,,,,,,,その他,
820,781,八塔寺山,はっとうじさん,八塔寺山,,538,三角点,岡山県,34.923179,134.252183,,,,,,,その他,
821,782,金山,かなやま,金山,,499,三角点,岡山県,34.744738,133.940744,,,,,,,その他,
822,783,大平山,おおひらやま,大平山,,698,三角点,岡山県,34.899025,133.706828,,,,,,,その他,
823,784,大満寺山,だいまんじさん,大満寺山,,608,三角点,島根県,36.256773,133.330531,,,,,,,その他,
824,785,焼火山,たくひやま,焼火山,,452,三角点,島根県,36.074766,133.031865,,,,,,,その他,
825,786,朝日山,あさひやま,朝日山,,344,標高点,島根県,35.507875,132.976412,,,,,,,その他,
826,787,鼻高山,はなたかせん,鼻高山,,536,三角点,島根県,35.412608,132.752640,,,,,,,その他,
827,788,高鉢山,たかはちやま,高鉢山,,1203,標高点,鳥取県,35.360327,134.051146,,,,,,,その他,
828,789,花知ヶ仙,はなちがせん,花知ヶ仙,,1247,三角点,岡山県,35.259528,133.974965,,,,,,,その他,
829,790,津黒山,つぐろせん,津黒山,,1118,三角点,岡山県,35.251808,133.814994,,,,,,,その他,
830,791,上蒜山,かみひるぜん,蒜山,上蒜山,1202,標高点,鳥取県 岡山県,35.324978,133.663636,,1,,,蒜山,二百名山:自動(名前一致・よみ一致・標高一致・距離0.0km・県一致),自動一致,
831,792,矢筈ヶ山,やはずがせん,矢筈ヶ山,,1358,三角点,鳥取県,35.386725,133.580902,,,,,,,その他,
832,793,大山,だいせん,大山,剣ヶ峰,1729,標高点,鳥取県,35.371204,133.546356,1,,,,剣ヶ峰,百名山:自動(名前一致・よみ一致・標高一致・県一致),自動一致,
833,794,烏ヶ山,からすがせん,烏ヶ山,,1448,標高点,鳥取県,35.355788,133.570446,,,,,,,その他,
834,795,毛無山,けなしがせん,毛無山,,1218,三角点,鳥取県 岡山県,35.235685,133.514697,,,,,,,その他,
835,796,宝仏山,ほうぶつせん,宝仏山,,1005,標高点,鳥取県,35.229824,133.470074,,,,,,,その他,
836,797,星山,ほしやま,星山,,1030,三角点,岡山県,35.142068,133.677359,,,,,,,その他,
837,798,花見山,はなみやま,花見山,,1188,三角点,鳥取県 岡山県,35.152385,133.401220,,,,,,,その他,
838,799,大倉山,おおくらやま,大倉山,,1112,三角点,鳥取県,35.133731,133.355216,,,,,,,その他,
839,800,船通山,せんつうざん,船通山,,1142,三角点,島根県 鳥取県,35.155909,133.178625,,,,,,,その他,
840,801,道後山,どうごやま,道後山,,1271,標高点,広島県 鳥取県,35.069504,133.232894,,,1,,,三百名山:自動(名前一致・よみ一致・標高一致・距離0.0km・県一致),自動一致,
841,802-1,比婆山（立烏帽子山）,ひばやま（たてえぼしやま）,比婆山,立烏帽子山,1299,標高点,広島県,35.051964,133.065520,,,,,比婆山/立烏帽子山,,その他,
842,802-2,比婆山（烏帽子山）,ひばやま（えぼしやま）,比婆山,烏帽子山,1225,三角点,広島県 島根県,35.070007,133.052312,,,,,比婆山/烏帽子山,,その他,
843,803,猿政山,さるまさやま,猿政山,,1267,三角点,島根県 広島県,35.081313,132.967776,,,,,,,その他,
844,804,大万木山,おおよろぎさん,大万木山,,1218,三角点,島根県 広島県,35.087547,132.854546,,,,,,,その他,
845,805,琴引山（弥山）,ことびきさん（みせん）,琴引山,,1013,三角点,島根県,35.048183,132.782490,,,,,弥山,,その他,
846,806,三瓶山,さんべさん,三瓶山,男三瓶山,1126,三角点,島根県,35.140558,132.621536,,1,,,男三瓶山,二百名山:自動(名前一致・よみ一致・標高一致・距離0.0km・県一致),自動一致,
847,807,大江高山,おおえたかやま,大江高山,,808,三角点,島根県,35.063907,132.428679,,,,,,,その他,
848,808,星居山,ほしのこやま,星居山,,834,三角点,広島県,34.748152,133.221715,,,,,,,その他,
849,809,岳山,だけやま,岳山,,741,標高点,広島県,34.648976,133.156782,,,,,,,その他,
850,810,龍王山,りゅうおうざん,龍王山,,665,三角点,広島県,34.455760,133.083416,,,,,,,その他,
851,811,鷹ノ巣山,たかのすざん,鷹ノ巣山,,922,三角点,広島県,34.565994,132.746014,,,,,,,その他,
852,812,白木山,しらきやま,白木山,,889,三角点,広島県,34.521261,132.575438,,,,,,,その他,
853,813,呉娑々宇山,ごさそうさん,呉娑々宇山,,682,三角点,広島県,34.422894,132.547850,,,,,,,その他,
854,814,野呂山（膳棚山）,のろさん（ぜんだなやま）,野呂山,膳棚山,839,三角点,広島県,34.262293,132.666197,,,,,野呂山/膳棚山,,その他,
855,815,冠山,かんざん,冠山,,863,標高点,島根県,34.917493,132.501852,,,,,,,その他,
856,816,阿佐山,あさやま,阿佐山,,1218,三角点,島根県 広島県,34.785932,132.381411,,,,,,,その他,
857,817,天狗石山,てんぐいしやま,天狗石山,,1192,三角点,島根県 広島県,34.792234,132.342657,,,,,,,その他,
858,818,雲月山,うんげつやま,雲月山,,911,三角点,島根県 広島県,34.802109,132.238760,,,,,,,その他,
859,819,大佐山,おおさやま,大佐山,,1068,三角点,島根県 広島県,34.747718,132.201303,,,,,,,その他,
860,820,臥龍山（刈尾山）,がりゅうざん（かりおやま）,臥龍山,,1223,三角点,広島県,34.690121,132.196763,,,,,刈尾山,,その他,
861,821,深入山,しんにゅうざん,深入山,,1152,三角点,広島県,34.649929,132.206797,,,,,,,その他,
862,822,恐羅漢山,おそらかんざん,恐羅漢山,,1346,三角点,島根県 広島県,34.595463,132.129674,,,,,,,その他,
863,823,十方山,じっぽうざん,十方山,,1328,標高点,広島県,34.565042,132.142161,,,,,,,その他,
864,824,大峯山,おおみねやま,大峯山,,1049,測定点,広島県,34.415768,132.216933,,,,,,,その他,
865,825,冠山,かんむりやま,冠山,,1339,三角点,広島県,34.468731,132.076098,,,,,,,その他,
866,826,寂地山,じゃくちさん,寂地山,,1337,標高点,山口県 島根県,34.467264,132.054434,,,,,,,その他,
867,827,安蔵寺山,あぞうじやま,安蔵寺山,,1263,三角点,島根県,34.477126,131.967229,,,,,,,その他,
868,828,小五郎山,こごろうさん,小五郎山,,1162,三角点,山口県,34.416817,132.008580,,,,,,,その他,
869,829,羅漢山,らかんざん,羅漢山,,1109,三角点,山口県,34.355584,132.067231,,,,,,,その他,
870,830,鈴ノ大谷山,すずのおおたにやま,鈴ノ大谷山,,1036,三角点,島根県,34.376647,131.839182,,,,,,,その他,
871,831,平家ヶ岳,へいけがだけ,平家ヶ岳,,1066,三角点,島根県 山口県,34.318392,131.899699,,,,,,,その他,
872,832,馬糞ヶ岳,ばふんがだけ,馬糞ヶ岳,,985,三角点,山口県,34.250621,131.896392,,,,,,,その他,
873,833,莇ヶ岳,あざみがだけ,莇ヶ岳,,1004,三角点,山口県,34.332474,131.777774,,,,,,,その他,
874,834,青野山,あおのやま,青野山,,907,三角点,島根県,34.462208,131.798081,,,,,,,その他,
875,835,十種ヶ峰,とくさがみね,十種ヶ峰,,988,三角点,山口県 島根県,34.438334,131.695282,,,,,,,その他,
876,836,高山,こうやま,高山,,533,三角点,山口県,34.652091,131.613406,,,,,,,その他,
877,837,西鳳翩山,にしほうべんざん,西鳳翩山,,742,三角点,山口県,34.210800,131.409425,,,,,,,その他,
878,838,大平山,おおひらやま,大平山,,631,三角点,山口県,34.073422,131.630339,,,,,,,その他,
879,839,桂木山,かつらぎさん,桂木山,,701,三角点,山口県,34.305399,131.302829,,,,,,,その他,
880,840,花尾山,はなおやま,花尾山,,669,三角点,山口県,34.283882,131.221028,,,,,,,その他,
881,841,天井ヶ岳,てんじょうがだけ,天井ヶ岳,,691,三角点,山口県,34.311004,131.042886,,,,,,,その他,
882,842,狗留孫山（御岳）,くるそんざん（おだけ）,狗留孫山,,616,三角点,山口県,34.214638,130.976289,,,,,御岳,,その他,
883,843,竜王山,りゅうおうざん,竜王山,,613,三角点,山口県,34.068408,130.935859,,,,,,,その他,
884,844,嶮岨山（星ヶ城山）,けんそざん（ほしがじょうさん）,嶮岨山,星ヶ城山,816,三角点,香川県,34.515350,134.317480,,,,,嶮岨山/星ヶ城山,,その他,
885,845,熊ヶ峰,くまがみね,熊ヶ峰,,437,三角点,広島県,34.433416,133.368204,,,,,,,その他,
886,846,鷲ケ頭山,わしがとうざん,鷲ケ頭山,,436,三角点,愛媛県,34.239140,133.021401,,,,,,,その他,
887,847,弥山,みせん,弥山,,535,測定点,広島県,34.279431,132.319531,,,,,,,その他,
888,848,皇座山,おおざさん,皇座山,,526,三角点,山口県,33.853123,132.142361,,,,,,,その他,
889,849,五剣山（八栗山）,ごけんざん（やくりやま）,五剣山,,375,標高点,香川県,34.360989,134.141445,,,,,八栗山,,その他,
890,850,大平山,おおひらやま,大平山,,479,三角点,香川県,34.329854,133.952363,,,,,,,その他,
891,851,飯野山（讃岐富士）,いいのやま（さぬきふじ）,飯野山,,422,三角点,香川県,34.274387,133.845875,,,,,讃岐富士,,その他,
