連番,索引番号,山名＜山頂名＞,山名よみ＜山頂名よみ＞,標高値(m),種別,都道府県,緯度,経度
250,234,霊山,りょうぜん,825,標高点,福島県,37.768747,140.687197
251,235,日山（天王山）,ひやま（てんのうざん）,1057,標高点,福島県,37.542852,140.683566
252,236,鎌倉岳,かまくらだけ,967,三角点,福島県,37.467024,140.68891
253,237,大滝根山,おおたきねやま,1192,三角点,福島県,37.354899,140.701664
254,238,屹兎屋山,きっとやさん,875,三角点,福島県,37.210624,140.867466
255,239,蓬田岳,よもぎだだけ,952,三角点,福島県,37.265799,140.534758
256,240,三大明神山,さんだいみょうじんやま,706,標高点,福島県,37.052097,140.762644
257,241,竪破山,たつわれさん,658,三角点,茨城県,36.710793,140.562278
258,242,男体山,なんたいさん,654,三角点,茨城県,36.724207,140.419684
259,243,高鈴山,たかすずやま,623,三角点,茨城県,36.62098,140.58784
260,244,八溝山,やみぞさん,1022,三角点,茨城県 福島県,36.930151,140.272988
261,245,吾国山,わがくにさん,518,三角点,茨城県,36.321865,140.201101
262,246,加波山,かばさん,709,三角点,茨城県,36.298811,140.143659
263,247,筑波山,つくばさん,877,測定点,茨城県,36.225359,140.106942
264,248,三本槍岳,さんぼんやりだけ,1917,三角点,福島県 栃木県,37.150142,139.961414
265,249,那須岳＜茶臼岳＞,なすだけ＜ちゃうすだけ＞,1915,標高点,栃木県,37.124861,139.963135
266,250,男鹿岳,おがたけ,1777,三角点,福島県 栃木県,37.085312,139.822082
267,251,大佐飛山,おおさびやま,1908,三角点,栃木県,37.063484,139.844451
268,252,高原山＜釈迦ヶ岳＞,たかはらやま＜しゃかがだけ＞,1795,三角点,栃木県,36.899965,139.776761
269,253-1,女峰山,にょほうさん,2483,標高点,栃木県,36.811457,139.536492
270,253-2,女峰山＜大真名子山＞,にょほうさん＜おおまなごさん＞,2375,三角点,栃木県,36.795257,139.507101
271,253-3,女峰山＜小真名子山＞,にょほうさん＜こまなごさん＞,2323,三角点,栃木県,36.807263,139.510865
